location_id,store_code,title,city,tier,state,photos,videos,services_total,services_sti,services_sti_list,products,reviews_total,reviews_sti,total_inventory,total_sti
5713797620365084252,04502007916710493791,"Allo Health, Sushant Lok - Best Sexologist & STI/STD Specialist in Gurugram",गुरुग्राम,?,Delhi,14,50,23,5,STI | STD | Herpes | Chlamydia | HIV/AIDS,0,113,0,200,5
18167615086952342320,01180544181989760876,"Allo Health, Mysuru - Best Sexologist in Mysore | Sex Doctor | Sex Therapist | S",Mysuru,T2,KA,52,4,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,513,2,658,33
16734770786722847016,12976854545908947553,"Allo Health, RT Nagar",Bengaluru,T1,KA,10,0,0,0,,0,1,1,11,1
13976033231598062289,12288422429977437013,"Allo Health, Hubli - Best Sexologist in Hubli | Sex Doctor | Sex Therapist | Sex",Hubballi,T2,KA,30,0,0,0,,0,14,0,44,0
8101293844210612730,06006310887442687457,"Allo Health, HSR Layout - Best Sexologist in Bangalore | Sex Doctor | Sex Therap",Bengaluru,T1,KA,57,9,85,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,668,26,819,57
7867974387162223608,08604432789001692473,Allo Health - India's largest chain of Sexual Health Clinics,New Delhi,?,Delhi,15,52,23,5,STI | STD | Herpes | Chlamydia | HIV/AIDS,0,176,0,266,5
9724695569029443936,10153586087657436813,"Allo Health, Coimbatore - Best Sexologist & Psychiatrist in Coimbatore | Sex Doc",Coimbatore,T2,TN,33,5,258,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,164,7,460,38
8077717933961400096,01664977483077396212,"Allo Health, Nungambakkam - Best Sexologist in Chennai | Sex Doctor | Sex Therap",Chennai,T1,TN,45,1,0,0,,0,300,11,346,11
13986872671996155787,08958831399076567919,"Allo Health, Panvel - Best Sexologist in Navi Mumbai | Sex Doctor | Sex Therapis",Mumbai,T1,MH,33,1,0,0,,0,34,7,68,7
70060187473347104,15931588103122801533,"Allo Health, Manapakkam",Chennai,T1,TN,2,0,0,0,,0,0,0,2,0
